class_pharmaceutical,class_therapeutic,atc,original_name,route,count,is_ab_med,is_sdd,target_atc,target_name,target_group,check,comment,is_antibiotic,is_medication,conversion_rate,concentration,dose_per_unit
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA01,CAPTOPRIL TABLET 25MG,oraal,19279,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA01,CAPTOPRIL TABLET 25MG,per duodenum sonde,86,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA01,CAPTOPRIL TABLET 25MG,per jejunum sonde,254,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA01,CAPTOPRIL TABLET 25MG,per maag sonde,3971,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA01,CAPTOPRIL TABLET 25MG,,2247,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA01,CAPTOPRIL TABLET 50MG,oraal,5511,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA01,CAPTOPRIL TABLET 50MG,per duodenum sonde,71,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA01,CAPTOPRIL TABLET 50MG,per jejunum sonde,2,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA01,CAPTOPRIL TABLET 50MG,per maag sonde,1495,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA01,CAPTOPRIL TABLET 50MG,,688,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA02,ENALAPRIL DRANK 1MG/ML,oraal,2,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA02,ENALAPRIL DRANK 1MG/ML,,1,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA02,ENALAPRIL TABLET 10MG,oraal,1809,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA02,ENALAPRIL TABLET 10MG,per jejunum sonde,39,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA02,ENALAPRIL TABLET 10MG,per maag sonde,2071,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA02,ENALAPRIL TABLET 10MG,,555,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA02,ENALAPRIL TABLET 20MG,oraal,274,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA02,ENALAPRIL TABLET 20MG,,108,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA02,ENALAPRIL TABLET 5MG,oraal,1038,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA02,ENALAPRIL TABLET 5MG,per duodenum sonde,14,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA02,ENALAPRIL TABLET 5MG,per jejunum sonde,11,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA02,ENALAPRIL TABLET 5MG,per maag sonde,1537,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA02,ENALAPRIL TABLET 5MG,,424,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA03,LISINOPRIL TABLET 10MG,oraal,4293,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA03,LISINOPRIL TABLET 10MG,per jejunum sonde,16,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA03,LISINOPRIL TABLET 10MG,per maag sonde,128,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA03,LISINOPRIL TABLET 10MG,,847,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA03,LISINOPRIL TABLET 20MG,oraal,2238,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA03,LISINOPRIL TABLET 20MG,per duodenum sonde,12,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA03,LISINOPRIL TABLET 20MG,per maag sonde,250,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA03,LISINOPRIL TABLET 20MG,,503,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA03,LISINOPRIL TABLET 5MG,oraal,11141,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA03,LISINOPRIL TABLET 5MG,per duodenum sonde,37,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA03,LISINOPRIL TABLET 5MG,per maag sonde,471,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA03,LISINOPRIL TABLET 5MG,,2346,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA04,PERINDOPRIL TABLET 10MG (ARGININE),oraal,4,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA04,PERINDOPRIL TABLET 10MG (ARGININE),,15,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA04,"PERINDOPRIL TABLET 2,5MG (TOSILAAT)",oraal,1,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA04,"PERINDOPRIL TABLET 2,5MG (TOSILAAT)",,2,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA04,PERINDOPRIL TABLET 4MG (ERBUMINE),oraal,1965,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA04,PERINDOPRIL TABLET 4MG (ERBUMINE),per maag sonde,63,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA04,PERINDOPRIL TABLET 4MG (ERBUMINE),,756,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA05,"RAMIPRIL CAPSULE 2,5MG",oraal,11,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA05,"RAMIPRIL CAPSULE 2,5MG",,8,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA05,RAMIPRIL TABLET 10MG,oraal,34,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA05,RAMIPRIL TABLET 10MG,,19,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA05,"RAMIPRIL TABLET 2,5MG",oraal,374,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA05,"RAMIPRIL TABLET 2,5MG",per jejunum sonde,68,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA05,"RAMIPRIL TABLET 2,5MG",,147,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA06,QUINAPRIL TABLET 10MG,oraal,62,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA06,QUINAPRIL TABLET 10MG,,12,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA06,QUINAPRIL TABLET 5MG,oraal,5,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA06,QUINAPRIL TABLET 5MG,,3,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA09,FOSINOPRIL TABLET 10MG,oraal,1134,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA09,FOSINOPRIL TABLET 10MG,per maag sonde,12,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA09,FOSINOPRIL TABLET 10MG,,600,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA15,ZOFENOPRIL TABLET OMHULD 30MG,oraal,2,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA15,ZOFENOPRIL TABLET OMHULD 30MG,,4,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA15,"ZOFENOPRIL TABLET OMHULD 7,5MG",oraal,13,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09AA15,"ZOFENOPRIL TABLET OMHULD 7,5MG",,6,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,,"CAPTOPRIL CAPSULE 3,125MG",oraal,197,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,,"CAPTOPRIL CAPSULE 3,125MG",per maag sonde,1,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,,"CAPTOPRIL CAPSULE 3,125MG",,55,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,,ENALAPRIL DRANK 1 MG/ML,oraal,57,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,,ENALAPRIL DRANK 1 MG/ML,per maag sonde,60,0,,,,,,,,,,,
ACE-REMMERS,MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,,ENALAPRIL DRANK 1 MG/ML,,8,0,,,,,,,,,,,
"ACE-REMMERS, COMBINATIEPREPARATEN",MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09BA02,"ENALAPRIL/HYDROCHLOORTHIAZIDE TABLET 20/12,5MG","ORAAL, OROMUCOSAAL",1,0,,,,,,,,,,,
"ACE-REMMERS, COMBINATIEPREPARATEN",MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09BA02,"ENALAPRIL/HYDROCHLOORTHIAZIDE TABLET 20/12,5MG",,4,0,,,,,,,,,,,
"ACE-REMMERS, COMBINATIEPREPARATEN",MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09BA03,"LISINOPRIL/HYDROCHLOORTHIAZIDE TABLET 20/12,5MG",oraal,3,0,,,,,,,,,,,
"ACE-REMMERS, COMBINATIEPREPARATEN",MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09BA03,"LISINOPRIL/HYDROCHLOORTHIAZIDE TABLET 20/12,5MG",,5,0,,,,,,,,,,,
"ACE-REMMERS, COMBINATIEPREPARATEN",MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09BA04,"PERINDOPRIL/INDAPAMIDE TABLET 4/1,25MG (ERBUMINE)",oraal,7,0,,,,,,,,,,,
"ACE-REMMERS, COMBINATIEPREPARATEN",MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09BA04,"PERINDOPRIL/INDAPAMIDE TABLET 4/1,25MG (ERBUMINE)",,3,0,,,,,,,,,,,
"ACE-REMMERS, COMBINATIEPREPARATEN",MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09BA09,"FOSINOPRIL/HYDROCHLOORTHIAZIDE TABLET 20/12,5MG",oraal,1,0,,,,,,,,,,,
"ACE-REMMERS, COMBINATIEPREPARATEN",MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09BB04,PERINDOPRIL-ARG/AMLODIPINE TABLET 5/ 5MG,oraal,2,0,,,,,,,,,,,
"ACE-REMMERS, COMBINATIEPREPARATEN",MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09BB04,PERINDOPRIL-ARG/AMLODIPINE TABLET 5/ 5MG,,2,0,,,,,,,,,,,
"ACE-REMMERS, COMBINATIEPREPARATEN",MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09BB04,PERINDOPRIL-ERB/AMLODIPINE TABLET 4/ 5MG,,2,0,,,,,,,,,,,
"ACE-REMMERS, COMBINATIEPREPARATEN",MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09BB04,PERINDOPRIL-ERB/AMLODIPINE TABLET 8/10MG,oraal,2,0,,,,,,,,,,,
"ACE-REMMERS, COMBINATIEPREPARATEN",MIDDELEN AANGRIJPEND OP HET RENINE-ANGIOTENSINESYSTEEM,C09BB04,PERINDOPRIL-ERB/AMLODIPINE TABLET 8/10MG,,7,0,,,,,,,,,,,
ACNEPREPARATEN VOOR SYSTEMISCH GEBRUIK,ACNEPREPARATEN,D10BA01,ISOTRETINOINE CAPSULE ZACHT 10MG,oraal,3,0,,,,,,,,,,,
"ACNEPREPARATEN, LOKALE",ACNEPREPARATEN,D10AB,ZWAVEL/ZINKOXIDE PASTA 50/540MG/G (SMEERSEL),cutaan,9,0,,,,,,,,,,,
"ACNEPREPARATEN, LOKALE",ACNEPREPARATEN,D10AE01,BENZOYLPEROXIDE GEL 50MG/ML,cutaan,40,0,,,,,,,,,,,
"ACNEPREPARATEN, LOKALE",ACNEPREPARATEN,D10AE01,BENZOYLPEROXIDE GEL 50MG/ML,,6,0,,,,,,,,,,,
"ACNEPREPARATEN, LOKALE",ACNEPREPARATEN,D10AF02,ERYTROMYCINE OPL CUTAAN 10MG/G,,4,0,,,,,,,,,,,
"ACNEPREPARATEN, LOKALE",ACNEPREPARATEN,D10AX03,AZELAINEZUUR CREME 200MG/G,cutaan,1,0,,,,,,,,,,,
"ACNEPREPARATEN, LOKALE",ACNEPREPARATEN,D10AX03,AZELAINEZUUR CREME 200MG/G,,3,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05BB01,"NATRIUMCHLORIDE 0,65% INJECTIE",intraveneus,9,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05BB01,"NATRIUMCHLORIDE 0,65% INJECTIE",,1,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05XA01,KALIUMCHLORIDE INF 149MG/ML (2MMOL/ML) (SHELL),intraveneus,1096,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05XA01,"KALIUMCHLORIDE INF 74,6MG/ML (1MMOL/ML) (SHELL)",intraveneus,3384,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05XA01,"KALIUMCHLORIDE INF 74,6MG/ML (1MMOL/ML) AMP 10ML",intracoronair,1326,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05XA01,"KALIUMCHLORIDE INF 74,6MG/ML (1MMOL/ML) AMP 10ML",intraveneus,5801,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05XA01,"KALIUMCHLORIDE INF 74,6MG/ML (1MMOL/ML) AMP 10ML",parenteraal,2,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05XA01,"KALIUMCHLORIDE INF 74,6MG/ML (1MMOL/ML) AMP 10ML",,36,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05XA03,NATRIUMCHLORIDE 10% INJECTIE CENTRAAL,intraveneus,11,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05XA03,NATRIUMCHLORIDE 10% INJECTIE CENTRAAL,per maag sonde,6,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05XA03,NATRIUMCHLORIDE 10% INJECTIE CENTRAAL,,4,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05XA03,NATRIUMCHLORIDE 100 MG/ML INFCONC (MIXTURE COMPONENT),per duodenum sonde,6,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05XA03,NATRIUMCHLORIDE 100 MG/ML INFCONC (MIXTURE COMPONENT),per jejunum sonde,15,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05XA03,NATRIUMCHLORIDE 100 MG/ML INFCONC (MIXTURE COMPONENT),per maag sonde,600,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05XA03,NATRIUMCHLORIDE 100MG/ML NICU,intraveneus,7,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05XA03,NATRIUMCHLORIDE 100MG/ML NICU,per maag sonde,7,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05XA03,NATRIUMCHLORIDE INF CONC 300MG/ML(30%) ZAK 250ML,intraveneus,2,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05XA03,"NATRIUMCHLORIDE INF CONC 58,5MG/ML(5,85%)AMP 20ML",intraveneus,2,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05XA14,GLYCEROFOSFORZ. INFCONC 1MMOL/ML(FOSFAAT) FL 20ML,intraveneus,1534,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05XA14,GLYCEROFOSFORZ. INFCONC 1MMOL/ML(FOSFAAT) FL 20ML,,7,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05XA14,GLYCEROFOSFORZUUR 1MMOL/ML (FOSFAAT),niet van toepassing,1,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05XA16,"CARDIOPLEG-CONC KCL/MGSUL 59,7/40MG/ML FL 50ML",intracoronair,34,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05XA16,CARDIOPLEGIE-OPLOSSING ZAK 1000ML,intracoronair,1993,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05XA16,CARDIOPLEGIE-OPLOSSING ZAK 1000ML,intraveneus,232,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05XA30,"FOSFATEN INF CON 1,5MMOL/ML (FOSFAAT)(A15)AMP10ML",intraveneus,391,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05XA30,"FOSFATEN INF CON 1,5MMOL/ML (NA/K-FOSFA)AMP 10ML",intraveneus,367,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05XA31,SUPLIVEN INFOPL CONC AMP 10ML,intraveneus,18771,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05XB01,ARGININE 100 MG/ML KORTLOPEND INFUUS CENTRAAL,intraveneus,6,0,,,,,,,,,,,
ADDITIEVEN VOOR INTRAVENEUZE INFUSIEVLOEISTOFFEN,BLOEDVERVANGINGSMIDDELEN EN PERFUSIEVLOEISTOFFEN,B05XB02,ALANYLGLUTAMINE INFOPL CONC 200MG/ML FL 100ML,intraveneus,3662,0,,,,,,,,,,,
