Bepaling,BepalingCode,count,mean,std,min,25%,50%,75%,max,include,group
CO-hemoglob. (DCOH),DCOH;BL,253105,1.147448,0.628641,0,0.7,1.1,1.5,22.7,0,
Meettemp.,P_TEMP,252392,36.98694,0.252566,24.5,37,37,37,42.2,0,
Natrium DE.,DNAT;BL,220587,138.4931,6.636137,78,134,137,142,194,1,SODIUM
Lactaat DC. (DLAC),DLAC;BL,172553,2.226481,2.395369,0,1.1,1.5,2.3,30,1,LACTATE
Geion.Calc,DCAL;BL,163525,1.13336,0.110469,0.24,1.08,1.14,1.2,4.79,0,
Chloride DE,DCHL;BL,159039,107.3304,6.888132,56,103,107,111,159,0,
H-index HP,K_HEMIND_HP,130290,6.106386,19.6594,0,1,3,6,2685,0,
L-index HP,K_LIPIND_HP,130289,20.46315,25.66141,0,11,16,23,2764,0,
I-index HP,K_ICTIND_HP,130288,18.78692,44.75861,0,7,11,17,1393,0,
Kreatinine,RKRE;BL,112124,118.9854,121.5313,2,61,82,123,2979,1,KREAT
Poct meet apparaat AegisPOC/poccelerator,P_METER,107485,10921211,9080203,29441,54581,18504361,18509721,18516941,0,
Leukocyten (HLEU),HLEU;BL,102308,13.10831,11.66621,0,8.3,11.5,15.7,892.2,1,LEUKOCYTES
Trombocyten (HTRO),HTRO;BL,98933,235.1468,155.5558,10,131,205,306,2430,1,TROMBOCYTES
Leuco's,K_LEU_EB,94622,12.29941,9.241976,0.1,8,11.1,15,463,1,LEUKOCYTES
Thrombo's,K_THR_EB,94236,266.4262,177.2822,1,152,230,342,2412,1,TROMBOCYTES
RATIO Calcium (plasma / Caion(7.4) ICV,P_CA_RATIO,92548,1.822153,0.145757,0.63,1.74,1.81,1.89,9.5,0,
aPTT,SAPT;BL,92358,38.44901,17.58695,20,26,32,48,180,0,
GlucoseStatStrip,GLUCS;BL,91076,10.88403,4.934809,0.6,7.2,9.9,13.7,33.3,1,GLUCOSE
Hb,K_HB_EB,88187,6.344878,1.310948,1,5.4,6.1,7.1,15.5,1,HB
Kreatinine,K_KR_HP,87171,110.6706,112.3165,5,56.7,77.9,116.2,6080.3,1,KREAT
Erythroblasten,K_AERB_EB,82864,0.558722,6.48654,0,0,0,0.1,600,0,
Glucose poct,P_GLUC_GB,80825,10.08812,3.970438,0.6,7.3,9.4,12.2,33.3,1,GLUCOSE
CRP,K_CRP_HP,78151,93.52011,92.94934,0.3,25,64,133,694,1,CRP
APTT,H_APTTspec_BL,75871,46.704,25.64206,16.9,33.3,40.4,53,240,0,
Fosfaat (RFOS),RFOS;BL,73502,1.15942,0.490156,0.03,0.85,1.08,1.35,7.77,0,
Magnesium,K_MAGN_HP,70521,0.88594,0.183624,0.1,0.77,0.86,0.98,9.08,0,
eGFR (CKD-EPI),K_EGFRBer,69107,69.92769,25.73863,5,53,85,90,90,0,
Prothrombinetijd INR,H_PTspec_BL,68937,1.376602,0.613831,0.74,1.09,1.2,1.38,7.5,0,
CK,K_CK_HP,65116,786.5383,4744.584,7,53,169.6,466.6,286556,0,
Calcium (RCAL),RCAL;BL,64763,2.121247,0.201789,0.82,2,2.12,2.24,5.53,0,
PT,SPT;BL,62400,12.83713,5.518447,8.3,10.9,11.5,12.6,180,0,
Calcium totaal,K_CA_HP,61752,2.114669,0.192851,0.2,2,2.11,2.22,4.48,0,
Fosfaat,K_PHOS_HP,61407,1.122501,0.456311,0.1,0.83,1.05,1.3,6,0,
Ureum,K_UR_HP,61340,11.06672,8.399671,0.5,5.6,8.4,13.5,91.1,0,
Alb.Chem,K_ALBC_HP,58827,22.76651,6.111435,4.2,18.2,22.3,26.8,52,0,
Bilirubine,K_BILT_HP,57214,15.41624,39.39767,3,4.6,7.2,12.1,716.2,1,BILIRUBIN
Kalium (RKAL),RKAL;BL,54992,4.071299,0.663436,1.2,3.7,4,4.4,12.3,1,POTASSIUM
Natrium (RNAT),RNAT;BL,52210,137.9456,5.73942,102,135,138,141,185,1,SODIUM
Hemoglobine (HHB),HHB;BL,51646,6.255716,1.444353,0.3,5.2,6,7.1,14.2,1,HB
eGFR (CKD-EPI),CKD-EPI;BL,47035,53.47467,24.71212,5,33,56,75,90,0,
Caion ongecorrigeerd voor pH ( QC),P_CAO_HB,44104,1.150047,0.087558,0.21,1.11,1.15,1.19,3.6,0,
Ca (alb.corr.),K_CAALB_HP,41802,2.418179,0.17928,1.39,2.3,2.41,2.52,4.5,0,
Ht,K_HT_EB,40378,0.318893,0.062821,0.1,0.272,0.311,0.359,0.677,0,
CPK,RCPK;BL,37857,1719.336,8931.329,2,233,428,879,445880,0,
Kalium,K_KA_HP,37237,4.11594,0.635251,1.66,3.71,4.06,4.44,10.8,1,POTASSIUM
CRP (CRPR),CRPR;BL,36117,101.8292,97.9181,0.3,23.4,73.1,151.5,683.9,1,CRP
CKMB massa,EMB;BL,34649,49.00788,124.5517,0.3,9.8,19.6,39.3,3532,0,
Natrium,K_NA_HP,34385,138.5372,5.222429,101.4,135.8,138.7,141.3,179.4,1,SODIUM
ALAT,K_ALAT_HP,32482,112.8112,404.3536,5,21.2,35.4,73.8,11197,0,
Ery's,K_ERY_EB,32398,3.444973,0.742258,1,2.89,3.34,3.91,9.68,0,
MCV,K_MCV_EB,32291,92.01568,6.420312,59.4,88.3,92,95.8,146.3,0,
MCH,K_MCH_EB,32290,1843.925,147.6034,1.928,1773,1855,1927,2661,0,
MCHC,K_MCHC_EB,32290,20.04648,0.98295,13.1,19.4,20.1,20.7,25.4,0,
RDW,K_RDW_EB,31972,15.20246,2.474338,10.7,13.4,14.6,16.4,33.1,0,
Gered.-HB,DHBH;BL,31437,6.73717,9.955472,0,1.7,3.7,6.3,91.2,0,
ASAT,K_ASAT_HP,29477,137.3097,730.8546,5,24.3,36.8,67.3,31459,0,
ALAT(SGPT),RPT;BL,28774,118.6223,419.7606,2,19,33,73,14879,0,
ASAT(SGOT),ROT;BL,25012,169.1122,886.4896,5,25,39,75,26685,0,
LD,K_LD_HP,24152,412.2542,1218.866,57.7,212.9,275.2,372.725,130800,0,
Ureum (RURE),RURE;BL,24097,14.36559,11.92222,0.5,6,10.1,19,98.6,0,
Alk.Fosf.,K_AF_HP,24077,156.8266,179.6567,5,69.6,102.7,172.6,4798.5,0,
Y-GT,K_YGT_HP,23656,158.6094,226.0185,3,35,81,182,3094,0,
Albumine (ALBI),ALBI;BL,21921,29.09014,7.339107,10,24,29,34,54,0,
Glucose,RGLU;BL,21013,8.974944,5.859839,0.7,6.2,7.5,9.7,113.5,1,GLUCOSE
Bili-totaal (RBIT),RBIT;BL,20410,34.91818,78.83072,1,6,11,24,1001,0,
LDH (RLDH),RLDH;BL,19579,524.268,1165.661,27,222,301,451,32558,0,
Aantal:,H_BT_Info_Aantal,19176,1.780246,1.457793,1,1,2,2,20,0,
Alk.fosf. (RAF),RAF;BL,19135,192.2702,216.3571,5,77,119,216,3966,0,
MB-Massa,K_MBM_HP,19062,43.26706,89.54811,0.3,8,17.6,35.4,600,0,
pCO2,P_PCO2_HB,18864,43.56372,10.47152,11,37,41,48,149,1,PCO2
pO2,P_PO2_HB,18574,97.52127,52.59158,15,71,84,106,560,1,PO2
TroponineT,K_CTNT_HP,18236,0.686732,2.637617,0.003,0.042,0.174,0.446,85.1,0,
Gamma-GT (RGGT),RGGT;BL,17242,224.2403,336.6051,4,44,109,266,7247,0,
eGFR (MDRD),K_EGFRBer_HP,17184,66.42639,25.71851,2,47,75,90,90,0,
Prothrombinetijd sec,H_PT_BL,16118,12.73423,5.910093,9,10.9,11.5,12.4,180,0,
Hematocriet (HHT),HHT;BL,16111,0.33588,0.067711,0.1,0.29,0.33,0.38,0.7,0,
INR,SINR;BL,14343,1.825371,1.154059,0.8,1.08,1.35,2.1,7.5,0,
Glucose,K_GLUC_HP,13769,8.54944,4.683958,0.2,6.15,7.41,9.37,88.05,1,GLUCOSE
NT-proBNP,K_BNP_HP,11701,4742.061,10800.05,5,187,828,3770,70000,0,
%Erytroblasten (HNRP),HNRP;BL,11631,5.915596,24.1317,0,0.8,1.5,3.8,1397.3,0,
Magnesium (RMAG),RMAG;BL,11288,0.825205,0.220104,0.14,0.7,0.8,0.91,4.68,0,
#Erytroblasten (HNRA),HNRA;BL,11077,0.882468,3.04791,0,0.08,0.18,0.53,137.18,0,
BK fles O2 TTD (uren),M_BacFXO2_POS,11000,49.74447,56.62605,0,0,17.9,120,336.2,0,
BK fles TTD (uren),M_BacFXan_POS,10716,51.71903,58.14047,0,0,18.4,120,336.2,0,
Anti FXa,H_aFXa_BL,10336,0.44457,0.236744,0,0.31,0.42,0.55,6.4,0,
pH,K_PH_HB,9870,7.398118,0.088066,6.4,7.36,7.41,7.45,7.71,1,PH
TroponineT hs,K_TNTHS_HP,9601,539.0895,2219.095,3,19,54,246,69370,0,
PH (CPH),CPH;BL,9439,7.390539,0.13854,6.3,7.34,7.42,7.48,7.81,1,PH
PCO2,CPCO;BL,9424,5.388053,2.195629,0.7,4.1,4.9,6,26.3,1,PCO2
Bicarbonaat,CBIC;BL,9422,23.55123,6.885099,1.2,19.7,23.4,27,75.2,1,BICARBONATE
Base excess (CBE),CBE;BL,9416,-1.31467,7.235761,-42.3,-4.5,-0.7,2.8,47.4,0,
PO2,CPO2;BL,9408,12.7172,9.407685,1.4,8.1,10.2,13.3,97.2,1,PO2
Temp-patient,CTMP;BL,9399,36.99947,0.075095,30,37,37,37,39,0,
O2-hemoglob.,CO2S;BL,9268,88.92334,13.89336,1.6,89.1,93.8,96.1,99.8,0,
BK fles O2 start tijd,M_BacFXO2_START,9017,20196646,5962.962,20181028,20190811,20200322,20200622,20210403,0,
pCO2,K_PCO2P_HB,9013,5.51744,1.619241,0.86,4.6,5.2,6.1,23,1,PCO2
BK fles starttijd,M_BacFXan_START,9012,20196643,5967.595,20181027,20190810,20200322,20200623,20210403,0,
Act.HCO3,K_AHCO3_HB,9008,25.14444,6.103271,1.5,21.7,24.9,28.3,71,1,BICARBONATE
B.E.,K_BE_HB,8997,0.416961,6.054261,-39.7,-2.7,0.7,3.8,41.1,0,
pO2,K_PO2P_HB,8432,11.17478,4.936358,1.5,8.5,10.5,12.8,77.4,1,PO2
O2-Saturatie,K_O2SAT_HB,8424,0.918564,0.116914,0.08,0.92,0.96,0.98,0.99,0,
ery B,H_ery_B,8189,3.445292,0.762855,0.5,3,4,4,4,0,
Anti D monoclonaal,H_Anti_D,8002,3.984691,0.176013,0.5,4,4,4,4,0,
#Neutrofielen (HNEA),HNEA;BL,7887,7.166675,5.688423,0,3,6.11,9.97,54.15,0,
%Neutrofielen,HNEP;BL,7852,70.37413,19.72223,0,63,75.2,83.9,100,0,
pH,K_PH_UR,6974,5.992171,1.113644,5,5,5.5,7,9,0,
S.M.,K_SM_UR,6970,1.015298,0.008745,1,1.01,1.015,1.02,1.09,0,
Fibrinogeen,SFIB;BL,6841,3.760861,2.147091,0.3,2,3.4,5.2,9.4,0,
Amylase,K_AMYL_HP,6789,113.6153,738.0841,3,35.8,56.9,98.7,56462,0,
INR dec.,INRD;BL,6338,2.265967,1.175781,0.8,1.5,1.9,2.7,8,0,
Ca-ion (7.4),K_CA_HB,6182,1.138826,0.108254,0.23,1.09,1.15,1.2,2.72,0,
HCO3 gemeten (RBIC),RBIC;BL,6140,23.07793,4.864421,3.3,20.1,23.2,26.1,46.7,1,BICARBONATE
Neutro's,K_ANEUA_EB,6105,10.30546,5.884812,0,6.36,9.38,13.12,135,0,
Eo,K_AEOA_EB,6038,0.093629,0.184615,0,0,0.03,0.11,5.08,0,
Baso,K_ABAA_EB,6033,0.038884,0.030262,0,0.02,0.03,0.05,0.27,0,
Monocyten,K_AMOA_EB,6033,0.77917,0.436879,0,0.48,0.73,1.01,6.59,0,
Lymfocyten,K_ALYA_EB,6031,1.157087,0.75295,0,0.635,0.99,1.5,5.5,0,
OxyHb-Fr.,K_FO2HB_HB,6028,0.900517,0.166999,0.146,0.9,0.94,0.96,10.4,0,
Troponine T (ETRO),ETRO;BL,5533,235.71,1773.064,0.005,0.05,0.37,28,63295,0,
Immature Granulocyten #,K_IMGA_EB,5528,0.187131,0.275875,0,0.05,0.09,0.2,3.81,0,
K (onv.ISE),K_KA_HB,5491,4.181909,0.623202,1.9,3.8,4.1,4.5,10.7,1,POTASSIUM
Na (onv.ISE),K_NA_HB,5476,138.7835,6.084089,109,135,138.2,142,174,1,SODIUM
Ht(v.Bgs),K_HCT_HB,5391,0.316818,0.062628,0.04,0.27,0.31,0.35,0.8,0,
Hb(v.Bgs),K_HB_HB,5389,6.455892,1.287942,0.9,5.5,6.3,7.2,16.3,1,HB
Glucose,K_GLUC_HB,5382,8.249963,3.447353,1.8,6.3,7.5,9.1,41.6,1,GLUCOSE
Cl (onv.ISE),K_CL_HB,5334,105.5317,6.84083,69,102,106,109,141,1,CHLORIDE
O2-Content,K_O2CO_HB,5300,13.3462,3.095464,0.906,11,13,15,35,0,
Met-Hb,K_METHB_HB,5299,1.001661,0.49601,-2,0.6,1.1,1.35,3.6,0,
CO-Hb,K_COHB_HB,5298,1.187693,0.74131,0,0.8,1.1,1.4,17.4,0,
Anion-Gap,K_AGAP_HB,5272,7.863697,3.936336,-1.3,5.2,7.2,9.7,55.4,0,
%Lymfocyten (HLYP),HLYP;BL,5226,13.87658,10.00487,0.1,6.5,11.7,18.7,96.6,0,
#Lymfocyten (HLYA),HLYA;BL,5223,1.294,0.947034,0.01,0.68,1.13,1.69,33.06,0,
ery A,H_ery_A,5214,3.769371,0.527476,0.5,4,4,4,4,0,
Fibrinogeen,H_FIBspec_BL,5211,3.651541,2.328428,0.2,1.84,2.8,5.23,12.36,0,
%Monocyten (HMOP),HMOP;BL,5152,7.308327,3.984192,0,4.8,6.9,9,48.4,0,
%Eosinofielen (HEOP),HEOP;BL,5152,1.488703,2.705922,0,0.1,0.6,1.9,56,0,
#Basofielen (HBAA),HBAA;BL,5151,0.037981,0.036252,0,0.02,0.03,0.05,1.17,0,
%Basofielen (HBAP),HBAP;BL,5151,0.369637,0.311043,0,0.2,0.3,0.5,3.7,0,
#Monocyten (HMOA),HMOA;BL,5150,0.747124,0.525934,0,0.45,0.67,0.96,18.12,0,
#Eosinofielen (HEOA),HEOA;BL,5147,0.140727,0.310034,0,0.01,0.06,0.18,7.43,0,
Vancomycine,VANM;BL,5064,18.68738,9.203576,3,12.4,17.3,23.1,80,1,VANCOMYCIN
Lactaat,K_LACT_HB,4885,1.697265,1.762078,0.2,0.9,1.27,1.9,28,1,LACTATE
Leukocyten (U),SLEU;U,4861,71.68402,147.8014,0,4,16,57,989,0,
MCV (HMCV),HMCV;BL,4818,90.69809,8.154098,52.4,86.3,90.6,95.375,144.8,0,
Erytrocyten (U),SERY;U,4648,102.4817,208.6423,0,0,19,86,1588,0,
#IG,HIGA;BL,4603,0.22159,0.523666,0,0.04,0.09,0.23,17.33,0,
%IG,HIGP;BL,4602,1.770469,2.377206,0,0.5,0.9,2,33.3,0,
D-dimeren,SDIM;BL,4555,5.841179,8.400367,0.21,1.22,2.79,6.53,79.94,0,
Anti A,H_Anti_A,4488,3.989639,0.153532,0.5,4,4,4,4,0,
Natrium (U),UNAT;U,4446,65.9323,44.83743,2,30,60,93,264,0,
Meettemp.,K_TEMP,4144,37.00104,0.054233,36.1,37,37,37,39.6,0,
Procalcitonine,K_PCT_HP,3605,1.726757,8.212645,0.02,0.12,0.24,0.7,100,0,
Baso,K_HBAA_EB,3520,0.038881,0.16118,0,0,0,0.01,4.77,0,
Myelocyten,K_HMYOA_EB,3520,0.226634,0.785005,0,0,0,0.13,18.42,0,
Lymfocyten,K_HLYA_EB,3520,3.240321,16.5125,0,0.31,0.71,1.53,233.07,0,
Staaf,K_HSTA_EB,3520,0.735847,1.489805,0,0,0.155,0.76,21.39,0,
Eo,K_HEOA_EB,3520,0.293821,3.235806,0,0,0,0.07,86.92,0,
Monocyten,K_HMOA_EB,3520,0.951733,2.87538,0,0.11,0.44,1.15,96.72,0,
Metamyelocyten,K_HMETA_EB,3520,0.211881,0.608536,0,0,0,0.14,7.63,0,
Segmenten,K_HSGA_EB,3520,10.87387,10.99732,0,1.7875,7.8,16.7725,121.5,0,
Promyelocyten,K_HPROA_EB,3520,0.204034,3.920934,0,0,0,0,150.44,0,
Blasten,K_HBLA_EB,3520,0.684226,11.0439,0,0,0,0,375.14,0,
D-dimeren,K_DDM_CP,3480,7.099017,13.759,0.15,1.29,2.645,6.1025,130.66,0,
Bili-direct (RBID),RBID;BL,3478,40.43876,83.75759,1,4,9,32,720,0,
Anti D blgr lang,H_Anti_D_L,3292,3.540097,0.519655,0.5,3,4,4,4,0,
AXA LEO,LEO;BL,3270,0.598092,0.496318,0.1,0.36,0.48,0.66,8.89,0,
Lactaat DC.,CLAC;BL,3255,3.342765,3.236726,0.5,1.5,2.2,3.8,25.5,1,LACTATE
Amylase (RAMY),RAMY;BL,2997,261.7487,456.7995,7,80,132,255,10319,0,
Vancomycine,A_VAO_EP,2843,18.10093,12.18168,0.25,11.98,16.29,21.625,372.11,1,VANCOMYCIN
NT-Pro BNP (EBNP),EBNP;BL,2840,6674.128,9990.521,51,803.5,2597.5,7517.25,67738,0,
Kreatinine (U),UKRE;U,2829,5.218077,3.99873,0.05,2.6,4.1,6.5,36.1,0,
Lactaat (RLAK),RLAK;BL,2742,3.343508,3.427818,0.5,1.6,2.4,3.6,43,1,LACTATE
Natrium,K_NA_UR,2676,67.7275,44.80072,20,28.775,60.6,94.225,281.2,1,SODIUM
TroponineT STAT oud nog in ug/l,K_CTNSTAT_HP,2660,0.486076,1.849383,0.003,0.021,0.057,0.261,38.7,0,
Osmolaliteit,OSM;BL,2655,306.8987,34.98687,216,284,299,323,617,0,
Ferritine (EFER),EFER;BL,2644,2423.843,7709.63,3,182,433,1383.25,98499,0,
Lipase (RLPA),RLPA;BL,2536,67.15221,137.2901,3,18.75,32,60,2733,0,
Chloride (RCHL),RCHL;BL,2403,102.9513,9.413644,51,98,103,108,150,0,
Tot.eiwit (U),UTE;U,2358,1.105013,2.883402,0.01,0.19,0.37,0.81,45.1,0,
Ammoniak (RAMM),RAMM;BL,2346,59.66074,49.722,10,32.1,47.05,70,684.1,0,
Leukocyten,K_WBC_UR,2264,108.0367,226.6283,3,7.26,19.09,62.865,901,0,
Erytrocyten,K_RBC_UR,2253,291.6938,527.6567,4,4,21.12,215,1600,0,
Anti D blgr kort,H_Anti_D_K,2253,3.687084,0.468546,2,3,4,4,4,0,
Kreatinine,K_KR_UR,2230,5.635184,4.305748,0.12,2.88,4.43,7.1525,44.28,0,
TSH,K_TSH_HP,2226,3.811981,8.54826,0.01,1,2,3.4,130,0,
Osmolaliteit Urine,OSMU;U,2200,485.5709,202.9088,7,339.75,469,623,1299,0,
Gentamicine,GENM;BL,2118,1423.99,37617.39,0.4,2.2,5.3,11.5,999999,1,GENTAMICIN
Lymfocyten (HLYM),HLYM;BL,2025,18.13383,21.35162,0,5,10,23,100,0,
Monocyten (HMON),HMON;BL,2013,6.587183,6.740428,0,2,5,8,69,0,
Urinezuur (RURI),RURI;BL,2002,0.251933,0.184173,0.01,0.12,0.21,0.33,1.93,0,
"Levering, datum:",H_BT_Info_LeveringDatum,1991,20183207,15820.57,20160313,20170428,20180731,20200128,20211230,0,
Segmenten (HSEG),HSEG;BL,1987,69.32109,23.06915,1,59,76,86,100,0,
Haptoglobine (RHAP),RHAP;BL,1923,1.8913,1.322324,0.2,0.82,1.54,2.73,6.72,0,
Kalium de.,CKAL;BL,1881,4.116427,1.108407,1.1,3.5,3.9,4.6,13.6,1,POTASSIUM
%Reticulocyt (HREP),HREP;BL,1855,3.999084,4.608523,0.1,1.3,2.5,4.7,34.7,0,
Eosinofielen (HEOS),HEOS;BL,1832,1.895197,5.215293,0,0,0,2,84,0,
#Reticulocyt (HREA),HREA;BL,1815,105.1313,97.17467,2.1,42.8,76.2,132.15,693.6,0,
Basofielen (HBAS),HBAS;BL,1782,0.464646,1.022837,0,0,0,1,16,0,
Yzer,RYZE;BL,1772,11.1298,7.862387,1,6,9,14,87,0,
Transferrine (TRAR),TRAR;BL,1752,2.061775,0.649655,0.23,1.57,2.12,2.49,4.47,0,
Vrij-T4,K_FT4_HP,1738,16.55242,6.596417,2,13.6,16.2,18.7,100,0,
#Lymfocyten,HLYM#;BL,1691,3.663862,19.24798,0,0.38,0.96,2.22,527.67,0,
Monocyten#,HMON#;BL,1691,1.022774,2.756035,0,0.12,0.48,1.15,56.13,0,
Anti A blgr lang,H_Anti_A_L,1690,3.63284,0.493551,0.5,3,4,4,4,0,
#Eosinofielen,HEOS#;BL,1685,0.200344,0.952195,0,0,0,0.14,23.36,0,
Basofielen#,HBAS#;BL,1682,0.049203,0.222617,0,0,0,0.01,5.09,0,
Segmenten#,HSEG#;BL,1648,11.33566,12.35903,0.01,2.7175,7.96,15.2625,89.88,0,
Osmolaliteit,K_OSMO_UR,1595,455.2735,192.2525,49,324.25,443,574.75,1277,0,
pCO2,K_PCO2_HB,1576,42.77665,11.51836,8,36,40,47,121,1,PCO2
Osmolaliteit,K_OSMO_HP,1549,300.5416,29.88201,216,284.5,298,313,683,0,
pO2,K_PO2_HB,1509,87.14314,33.19386,11,69,83,100,380,1,PO2
Natrium DE.,CNAT;BL,1427,136.5396,10.07825,102,131,136,141,190,1,SODIUM
Erytrocyten (HERY),HERY;BL,1414,3.353331,0.908376,1.36,2.66,3.165,4,7.32,0,
Totaal Eiwit,K_TE_UR,1409,0.610227,1.507304,0.06,0.19,0.3,0.64,43.4,0,
Bezinking,RBSE;BL,1382,36.13459,36.34204,0,8,25,55,142,0,
Anti B,H_Anti_B,1367,3.983175,0.13958,2,4,4,4,4,0,
Triglyceride,RTRI;BL,1302,2.203287,3.390004,0.12,0.9525,1.42,2.27,68.38,0,
Neutro's,K_ANEUAL_EB,1300,3.945231,4.41173,0,0.6275,2.63,5.8125,28.41,0,
Bezinking,K_BSE_EB,1284,32.79595,34.99634,2,7,18,45,140,0,
Antitrombine 3,H_AT3_BL,1248,94.62989,23.2941,11,79.975,94.7,110.825,150,0,
Hemoglob. nc,CIHB;BL,1245,6.74747,1.687638,1.7,5.5,6.7,8,12.5,0,
Lipase,K_LIPA_HP,1243,92.31617,273.8165,3.5,18.2,32.1,64.35,4990.7,0,
Kalium (U),UKAL;U,1236,37.57686,24.53661,3,20.75,32,49,217,0,
Anti A blgr kort,H_Anti_A_K,1222,3.527823,0.504325,2,3,4,4,4,0,
Aspergillus antigeen (Galactomannan) index,M_GALACAGnum_BC,1202,0.719136,1.649069,0,0.1,0.1,0.4,12.3,0,
Glucose DE.,CGLU;BL,1186,12.27799,8.175074,1.6,6.9,9.5,14.9,53.9,1,GLUCOSE
Tacrolimus,A_TCR_EB,1185,18.43191,19.32852,0.5,8.61,15.01,24.8,451.8,0,
Volume,K_VOL_UV,1174,2469.107,1790.356,20,1300,2100,3142.5,13200,0,
Verzamelperiode,K_VZP_UV,1172,23.70917,2.341763,4,24,24,24,48,0,
Plasmacellen,K_PLMC_EB,1168,5.99E-05,0.002048,0,0,0,0,0.07,0,
Erythroblasten,K_HERB_EB,1161,7.723945,62.86832,0,0.5,1.2,3.3,1793.8,0,
Caion ongecorrigeerd voor pH (QC),K_CAO_HB,1145,1.130786,0.083632,0.46,1.09,1.13,1.18,1.58,0,
Kreatinine,K_KR_UV,1103,9.769538,6.284433,0,5.4,8.4,12.7,42.9,0,
I-index DR,K_ICTIND_DR,1059,55.67989,180.9993,0,0,8,23,2074,0,
H-index DR,K_HEMIND_DR,1059,63.88291,219.2433,0,1,4,22,2460,0,
L-index DR,K_LIPIND_DR,1054,51.64801,71.66237,0,10,27,61,813,0,
Totaal chol.,RCHO;BL,1036,4.293822,1.430153,1.01,3.41,4.18,5.0825,18.67,0,
Staven (HSTA),HSTA;BL,1031,4.560621,5.356963,0,1,3,6,40,0,
HDL-chol.,RHDL;BL,1023,1.191632,0.505078,0.1,0.86,1.14,1.44,3.85,0,
Antitrombine,SAT;BL,1016,85.74213,29.32899,9,72,93,106,163,0,
Ferritine,K_FER_HP,1014,4307.462,11104.31,4.24,258.25,685.95,3004.25,100000,0,
TSH,TSHR;BL,1009,4.375025,9.929397,0.01,0.92,1.9,3.7,158,0,
Kreat onteiwit (KRO),KRO;BL,1007,189.9822,161.9295,31,92,148,231.5,1187,0,
Chloor,K_CL_HP,961,103.3421,7.620432,60,99.9,103.5,107.6,133.1,1,CHLORIDE
